Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/40,0/20,50,2500,15.32965898513794,,,,0.0
0/40,1/20,100,5000,17.960803270339966,,,,0.0
0/40,2/20,150,7500,18.05257225036621,,,,0.0
0/40,3/20,200,10000,19.725279569625854,7.584776774048805,0.21135689644142985,3.6266888678073883,0.0
0/40,4/20,250,12500,39.86174201965332,635.5545697808266,6.70793520193547,22.743195253424346,0.9
0/40,5/20,300,15000,36.49250602722168,1062.3043553233147,37.28043547086418,30.935885531827807,1.0
0/40,6/20,350,17500,37.12401533126831,1207.7067341804504,68.47259629890323,39.107556242495775,1.0
0/40,7/20,400,20000,38.509013175964355,1299.9628279209137,69.13977959752083,44.904257357120514,1.0
