Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/40,0/20,50,2500,201.56535267829895,,,,0.0
0/40,1/20,100,5000,137.8222234249115,,,,0.0
0/40,2/20,150,7500,36.83538103103638,,,,0.0
0/40,3/20,200,10000,39.822842597961426,15.177097499370575,0.7625231724232435,5.620798759162426,0.0
